
+--------------------------------------+--------------------------------------+-----------+------------+----------------+-----------------+
| id                                   | loadbalancer_id                      | status    | role       | lb_network_ip  | ha_ip           |
| 238a9313-16a2-4ddc-8d33-0e509d4ea894 | 53b42327-0bbf-4e7a-b627-7ca83769a515 | ALLOCATED | STANDALONE | 192.168.34.112 | 10.10.10.254    |
| 23c5513a-62c8-412a-899e-575bdba8bd65 | ed7ad29d-db24-4a3b-875b-59c2b60db1bc | ALLOCATED | STANDALONE | 192.168.36.144 | 10.10.10.4      |
| 243ee31b-10f8-4b94-b558-d6b7a60120e0 | c4ef5375-c230-40f0-b5bf-813ad8917ade | ALLOCATED | STANDALONE | 192.168.34.210 | 10.10.10.199    |
| 251e8117-a41e-44db-812e-f84761ee1cde | 2c78a537-27d0-4661-9504-3aaba93d6a6c | ALLOCATED | STANDALONE | 192.168.35.54  | 10.10.10.252    |
| 252d1b5d-a0b4-45ae-ae58-35e6fe0f411b | c4326fe1-e815-4967-9e8d-6276bcd51b46 | ALLOCATED | STANDALONE | 192.168.35.117 | 10.233.233.147  |
| 26a7a288-0c89-4ac5-afb3-ede2895fe273 | d8e30b1f-bdeb-44a7-bcde-a7d851fbfac8 | ALLOCATED | STANDALONE | 192.168.36.146 | 10.10.10.156    |
| 26abb12c-139c-4d9e-a7a3-4ff6393c3f92 | b24d4957-8ee0-4fc2-80ac-900d58aafafa | ALLOCATED | STANDALONE | 192.168.34.22  | 10.10.10.16     |
| 26c4845b-2818-438f-9502-90018b25fa5d | 953f6246-72f6-43d5-820b-bebe3ff0c235 | ALLOCATED | STANDALONE | 192.168.10.125 | 10.10.10.164    |
| 2840686f-185b-4a69-a516-0e3e269aedfb | f8985e05-dbc7-4a71-91a8-10c64d249c38 | ALLOCATED | STANDALONE | 192.168.36.108 | 10.10.10.248    |
| 28779912-9ef0-4110-94b7-3b390977f5d2 | 72c2d5ac-7662-4e9a-b2f6-f1a91e44b851 | ALLOCATED | STANDALONE | 192.168.10.140 | 10.188.239.43   |
| 28ecc363-47c2-45ff-81c8-5d5cf542b7a7 | 4ba40b31-73c9-45d3-9d45-58da44eecd46 | ALLOCATED | STANDALONE | 192.168.34.134 | 10.10.10.27     |
| 297494d4-8356-4c12-a545-d9c804fb57ad | 11dda044-3160-4bb3-a5a0-0823811d57bf | ALLOCATED | STANDALONE | 192.168.10.134 | 10.10.10.184    |
| 29a4763d-7514-4d8a-a893-ca30b11dba69 | 5a8bc204-2236-42f2-b498-2c046dd203c8 | ALLOCATED | STANDALONE | 192.168.32.124 | 10.10.10.37     |
| 2a17edd2-d918-4f4f-8b5b-09ac579d8733 | 5e0a69d9-dabb-40f7-9757-e835656b4ea9 | ALLOCATED | STANDALONE | 192.168.32.63  | 10.10.10.20     |
| 2a4ae78c-6108-407f-a78a-458383bccf56 | 47f21335-1745-4dc1-970a-1cca6e07246c | ALLOCATED | STANDALONE | 192.168.35.111 | 10.10.10.33     |
| 2a84ac88-2c84-4311-863d-4443e20ec3b4 | d44fca97-e4b9-4962-8694-be08341623b7 | ALLOCATED | STANDALONE | 192.168.10.143 | 10.10.10.21     |
| 2b6bedee-201b-450e-8393-59b8955c0fa9 | 7e8ba486-0604-44f0-af13-eaf517924dcc | ALLOCATED | STANDALONE | 192.168.35.239 | 10.10.10.141    |
| 2c1de77d-d8f7-401e-ad74-9db32a6bc4a9 | 3f88d9f0-17c2-45af-b76e-cdc4b530dcc6 | ALLOCATED | STANDALONE | 192.168.33.66  | 10.10.10.188    |
| 2c23120d-33ea-4ae9-9729-321bf9cdcaa0 | 3aab0321-12da-4c13-8e1e-e0cd63ae6330 | ALLOCATED | STANDALONE | 192.168.32.105 | 10.10.10.166    |
| 2c4eb2a9-a028-4a3e-a936-ef63765c4b54 | ab856e9a-eda7-4722-b0c9-b9d4d909378f | ALLOCATED | STANDALONE | 192.168.33.183 | 10.10.10.208    |
| 2c608580-7ecc-452e-b2dd-1216d18d2d5a | 8c7a1651-8df9-4799-be77-04b7b720801e | ALLOCATED | STANDALONE | 192.168.10.186 | 10.10.10.17     |
| 2caf1018-99c3-4069-85e3-cdbe4278f06d | fdead9fe-5a6a-4eb2-8973-58377e7bc938 | ALLOCATED | STANDALONE | 192.168.32.230 | 10.10.10.131    |
| 2cb18624-45de-49fb-90d0-a0150759c1f3 | d15435ba-b2df-482f-8e88-d0bf702f95e4 | ALLOCATED | STANDALONE | 192.168.36.169 | 10.10.10.34     |
| 2cb6952d-eeac-4ac4-b048-77a279e0db27 | 6662c2f2-ba27-45bf-84c7-74f2e849d862 | ALLOCATED | STANDALONE | 192.168.10.123 | 10.10.10.142    |
| 2ced1f15-dd6c-43bc-b6b7-f9e414b15229 | ba53b933-d6f6-487d-b0d0-ec7608c61565 | ALLOCATED | STANDALONE | 192.168.35.171 | 10.10.10.112    |
| 2d19ca0b-4bb9-4c6c-8ff9-ab732bef89f6 | 26c15de6-9fb4-44eb-92ff-29101874d7be | ALLOCATED | STANDALONE | 192.168.34.24  | 10.10.10.20     |
| 2f74d39e-70db-401f-a8f6-73faf9ea1e94 | 373246ee-1668-42c2-8152-508704de25ee | ALLOCATED | STANDALONE | 192.168.33.238 | 10.10.10.93     |
| 2f78589f-9edc-40a3-9143-f8b0755afdef | 88c4d8df-aa6e-43c2-9718-e7fc581d23cc | ALLOCATED | STANDALONE | 192.168.33.151 | 10.10.10.237    |
| 2fd1739f-6288-496c-aac9-809a8a14c778 | 79efef45-f6ca-4e3e-94cb-b372a3836a9a | ERROR     | STANDALONE | 192.168.33.196 | 10.10.10.54     |
| 30da335f-2a04-4e60-801f-6888463ee091 | 5d08f87c-b642-4a70-838a-166858973128 | ALLOCATED | STANDALONE | 192.168.34.81  | 10.10.10.139    |
| 30ead4d3-b318-453e-b963-ce81dffbac26 | 26422890-189c-42e6-b20d-d2345b13cd9a | ALLOCATED | STANDALONE | 192.168.10.151 | 10.10.10.20     |
| 316f296e-54b4-4b86-a944-a072b494e871 | bf85faff-e68f-427e-86f5-d8bd5c924e3c | ALLOCATED | STANDALONE | 192.168.10.80  | 10.10.10.236    |
| 3188de67-8942-4707-b0a8-8f0762245f4c | 9634036e-7c81-4930-9e0c-ae8da59ead17 | ALLOCATED | STANDALONE | 192.168.10.119 | 10.10.10.193    |
| 32bd49a2-cff7-49f9-a4b1-6615d8f043de | f27ab5dd-706c-46da-929b-352eae9012d7 | ALLOCATED | STANDALONE | 192.168.10.39  | 10.10.10.248    |
| 333164a7-353b-4349-90e5-a7322a376ab0 | 60e7c6e7-6c5f-44a6-a9ce-15479ec89e95 | ALLOCATED | STANDALONE | 192.168.10.60  | 10.10.10.119    |
| 33b59448-8724-4408-a795-208a2e4ba3f8 | e9d143d3-180b-4709-b1e6-630bdcd95abf | ALLOCATED | STANDALONE | 192.168.10.130 | 10.10.10.29     |
| 33da00ab-6dd5-44dc-a250-9abdba707ec1 | be7db85f-9e26-468f-852f-282797a6c684 | ALLOCATED | STANDALONE | 192.168.10.193 | 10.10.10.19     |
| 34ae46a8-54d8-4ba6-ab14-b4d81fe508af | 8adfe328-c4b2-4b83-b2d5-f731e8f6a078 | ALLOCATED | STANDALONE | 192.168.33.25  | 10.10.10.137    |
| 35199268-cba0-402c-aa48-5d31ce34a89f | c3a054e8-674c-4bf2-95b8-a58d2b383267 | ALLOCATED | STANDALONE | 192.168.36.174 | 10.10.10.96     |
| 35774aee-f145-4603-a811-b6faabe49886 | 4d511800-fce8-4bb6-bba1-04558e7fb83f | ALLOCATED | STANDALONE | 192.168.10.30  | 10.10.10.246    |
| 35f822a9-bbc2-4a19-b351-599714bd846d | 0bc5782f-8c5f-4574-9e24-f917f02cc1c4 | ALLOCATED | STANDALONE | 192.168.34.86  | 10.10.10.50     |
| 35f8cf5f-54ee-4a5f-895a-52c8d2a84506 | None                                 | BOOTING   | None       | None           | None            |
| 35fda7d0-7667-43f9-8ce2-b12b880d0f98 | 72b436c8-31c0-476d-8527-ccf8e84c1bf9 | ALLOCATED | STANDALONE | 192.168.10.57  | 10.10.10.27     |
| 36c1c068-1c07-47db-8288-f426e8a180cb | dda496c2-6019-4db0-bc71-37b91888fc97 | ALLOCATED | STANDALONE | 192.168.35.50  | 10.10.10.31     |
| 36d408c1-3afc-422c-805b-73398638181c | d428f475-1c83-4bbd-b3f9-d3f731be3945 | ALLOCATED | STANDALONE | 192.168.10.105 | 10.10.10.72     |
| 37330730-ffe6-4ccd-b07b-70aa6793b080 | 0a4469f2-e5e5-41e7-b703-9a002596639c | ALLOCATED | STANDALONE | 192.168.35.122 | 10.10.10.47     |
| 3734b3f3-15e3-4c8d-bea1-3bc64c6642f8 | ad0d7f40-b950-42e0-a5d4-65f06c59a38a | ALLOCATED | STANDALONE | 192.168.34.102 | 10.10.10.143    |
| 376f8f90-8526-4bbf-89fb-deccf874cac3 | 68efec56-5ce2-42ba-b31f-9043f34dadcc | ALLOCATED | STANDALONE | 192.168.35.121 | 192.0.2.201     |
| 38c2a322-8c65-4f57-bde4-3e1044bbd9e9 | 7cf8f4d2-222a-4b0a-98c6-60599830adf8 | ALLOCATED | STANDALONE | 192.168.34.122 | 10.10.10.46     |
| 393e1d59-0396-4d3b-9f89-0c02e0421026 | 668697a5-5e2a-489f-99af-dc116922a554 | ALLOCATED | STANDALONE | 192.168.10.68  | 10.10.10.15     |
| 39fe96ca-8e03-45bb-9803-444db97984f3 | 7e80b548-b34c-4819-baa2-370874dc2fc4 | ERROR     | STANDALONE | 192.168.36.139 | 10.10.10.5      |
| 3a4c9f0c-4a9e-4ad1-8f62-c9a6d05eb8a3 | d658ace4-c641-403e-973d-99d305d80bdc | ALLOCATED | STANDALONE | 192.168.34.101 | 10.10.10.34     |
| 3a5105d9-1c3f-4f1a-8175-e91c00fbf40e | None                                 | BOOTING   | None       | None           | None            |
| 3a844d03-efbe-4c6f-a9fd-5b38747b463f | 5000161a-dc5f-41d1-a672-c53a1144bec2 | ALLOCATED | STANDALONE | 192.168.32.241 | 10.10.10.153    |
| 3ad0c458-b669-414b-85e5-8e9871d28d94 | 444f9c1b-5c41-4d0f-92b3-ad3416080c04 | ALLOCATED | STANDALONE | 192.168.10.79  | 10.10.10.12     |
| 3b0365ae-4b6a-4ee8-aba1-323cd855f632 | ce5be53c-0b2d-4280-b854-345a2f8e7ede | ALLOCATED | STANDALONE | 192.168.33.28  | 10.10.10.204    |
| 3b767945-4976-4060-a0d3-d56c84163772 | 649692cf-ca88-4136-a668-362daa66e6c3 | ALLOCATED | STANDALONE | 192.168.10.197 | 10.10.10.150    |
| 3b79483e-73f3-4e96-b01e-fdac357a3c05 | cba6e5c5-6f38-4975-b908-78f9eb5d33bf | ALLOCATED | STANDALONE | 192.168.10.145 | 10.10.10.148    |
| 3c48b285-80bb-4767-9136-d350fd30edf4 | 2b957186-c8f3-4602-8a7e-ab0d92829961 | ALLOCATED | STANDALONE | 192.168.10.98  | 10.10.10.16     |
| 3c5f972b-e3d0-427f-9db9-b0f1909676fa | 30362cd0-40aa-458e-a01f-fda8f6720249 | ALLOCATED | STANDALONE | 192.168.33.157 | 10.10.10.214    |
| 3cd916ad-eadc-41f3-a7ee-ef87b16c5cd6 | e9c19bcb-8b0f-499a-bc1a-9b115db9ea87 | ALLOCATED | STANDALONE | 192.168.36.8   | 10.10.10.217    |
| 3d56177a-e2ae-4554-b2d4-657d9b84c0cc | 3abd1d87-2298-4d6e-ba14-a36ebe887253 | ALLOCATED | STANDALONE | 192.168.35.39  | 10.188.239.36   |
| 3e7c4521-cfec-44ea-9489-026c56b069eb | e1f13a43-7af1-453d-abae-fd179b5de405 | ALLOCATED | STANDALONE | 192.168.10.5   | 10.10.10.200    |
| 3e979022-dfc9-436f-b55b-a152313c1316 | 4bfe1f21-2989-46b3-a37e-dff15054a67f | ALLOCATED | STANDALONE | 192.168.10.192 | 10.10.10.31     |
| 3fae5aba-7bbd-4909-9881-04eddd82caba | 6b262871-4ac3-4ce9-9861-a1af249ef837 | ALLOCATED | STANDALONE | 192.168.36.126 | 10.10.10.74     |
| 401a9b5a-5b15-4035-9e35-a42d798d012f | 7eb26683-cf04-47c2-824c-51e086cf1e9f | ALLOCATED | STANDALONE | 192.168.35.196 | 10.10.10.79     |
| 404381dd-7197-4b46-8fe8-3b42dad437ac | 9d9136aa-ac74-4d13-9485-4585393876d8 | ALLOCATED | STANDALONE | 192.168.10.74  | 10.10.10.192    |
| 405d688f-6cae-4024-aa07-53b23eb3a549 | 8be8e218-4c59-4cc7-8b8d-cb107c24d98b | ALLOCATED | STANDALONE | 192.168.36.22  | 10.10.10.40     |
| 407de80e-764d-4017-addf-b48551123599 | 0072bb3e-c61f-479f-bb5a-200347b9cd46 | ALLOCATED | STANDALONE | 192.168.10.84  | 10.10.10.24     |
| 408b4a5e-153a-4cdc-aead-c33955b4d22f | a6c20222-4a31-4304-9a4d-f18dd647c0d3 | ALLOCATED | STANDALONE | 192.168.33.79  | 10.10.10.90     |
| 412c6cbe-3575-49b5-b810-e74169286b15 | d003f670-fdcb-4250-a865-79cd82c544a8 | ALLOCATED | STANDALONE | 192.168.37.78  | 10.10.10.117    |
| 41be30c8-aa17-416d-b1c2-a93e81e81994 | 28dfb428-26b8-471f-819f-0ebb872f0f76 | ALLOCATED | STANDALONE | 192.168.35.12  | 10.10.10.31     |
| 41ed0234-6946-40d6-be5f-a62f9133ff33 | facd3f37-f668-46d5-bc28-75ede0fc1831 | ALLOCATED | STANDALONE | 192.168.37.15  | 10.10.10.22     |
| 42e0b6fa-6b02-4686-bbd5-2f9dcfe5cade | 1b9879d7-082f-41ed-aabd-ea3a3de15186 | ALLOCATED | STANDALONE | 192.168.10.108 | 10.10.10.99     |
| 42f72a7d-0391-495a-90ef-c64d130a48fe | 21173a8f-2065-43a2-815a-68fc790ba651 | ALLOCATED | STANDALONE | 192.168.10.109 | 10.10.10.10     |
| 43ebe027-1996-4e57-9c9e-a0bfd635f71a | 07dd7170-4dcc-4b36-86e5-567dae5258a1 | ALLOCATED | STANDALONE | 192.168.10.198 | 192.168.7.14    |
| 45930361-1d94-4c89-81de-baa1f7d3bdca | 6d121cb6-37ab-48ed-b0f4-7bbf6dd323f7 | ALLOCATED | STANDALONE | 192.168.10.89  | 10.10.10.64     |
| 45a6e977-3261-49d1-bf92-b73ae305e015 | c9cd6b59-967d-44dc-9140-b2139570e436 | ALLOCATED | STANDALONE | 192.168.35.52  | 10.10.10.216    |
| 4642a2b1-3e93-4b82-8415-72af9d3fbead | b1c3294c-5c55-458e-8580-99243f647868 | ALLOCATED | STANDALONE | 192.168.35.112 | 10.10.10.84     |
| 4696248c-4b8a-4081-9f18-27da575d343d | e8ceb9ff-e92d-4448-a5b4-0f6c505ad566 | ALLOCATED | STANDALONE | 192.168.10.149 | 10.188.239.190  |
| 4721e4b2-1651-45dc-b3a5-80cc4557f197 | None                                 | BOOTING   | None       | None           | None            |
| 47ba1942-a857-442e-8a2d-a71219078408 | 5f531f18-d73f-4b0f-80e5-96f1354f919d | ALLOCATED | STANDALONE | 192.168.34.17  | 10.10.10.201    |
